user,ordernum,orderstatus,channel,date_ordered,age,gender,ordertotal,state
07e0d,01ff8,cancelled,direct,1/9/2019,41,Female,62.16,LA
9E+15,2069,cancelled,social,1/15/2019,33,Male,89.06,OK
43335,0210c,finished,direct,3/25/2019,29,Male,99.28,OK
d9a86,0223e,finished,direct,2/20/2019,31,Male,76.56,FL
e0acd,2255,cancelled,social,5/14/2019,51,Male,87.36,TN
9799f,0225d,cancelled,google,4/25/2019,25,Female,102.96,TN
77049,0225f,finished,direct,5/15/2019,31,Female,95.46,LA
35b73,2262,finished,social,3/26/2019,50,Female,87.12,FL
5090b,022ff,finished,direct,3/7/2019,20,Male,80.52,GA
05b1e,0245e,finished,direct,3/29/2019,58,Male,85.09,TX
443aa,0249d,finished,direct,2/13/2019,31,Female,65.49,LA
eb8a0,0266e,finished,google,3/30/2019,51,Male,68.32,GA
33ad6,026cb,finished,social,3/10/2019,33,Female,65.49,LA
5bb40,026ed,finished,google,5/7/2019,48,Female,95.16,GA
654b6,0274a,finished,google,12/29/2018,56,Female,87.12,FL
af57d,027d7,finished,google,3/31/2019,46,Male,128.14,NJ
be981,0280a,finished,direct,3/5/2019,27,Female,59.5,NM
d78f5,2906,finished,google,3/27/2019,29,Male,89.06,OK
26204,2977,finished,direct,3/4/2019,22,Female,99.83,NJ
c5938,02a10,finished,google,4/8/2019,33,Male,66.64,NM
c1c97,02a9e,finished,social,4/15/2019,32,Female,93.44,OK
b556b,02ace,finished,direct,2/20/2019,43,Male,73.66,TX
4a7e1,02b96,finished,direct,5/16/2019,21,Female,80.52,GA
43b5a,02bbc,cancelled,direct,3/5/2019,55,Male,99.28,OK
bb069,02c0f,finished,social,4/16/2019,22,Male,66.6,LA
b6baa,02c1e,finished,google,1/22/2019,52,Female,73,OK
3.1E+44,02c29,finished,google,4/24/2019,58,Male,81.95,NJ
4dc2b,02c6a,finished,others,4/26/2019,50,Male,78,TN
6e629,02d09,finished,others,2/19/2019,48,Female,75.9,CA
f564e,02ea7,cancelled,direct,4/27/2019,44,Female,66.7,CA
d1dbe,02eff,finished,others,5/12/2019,50,Female,87.84,GA
63d26,02f46,finished,google,3/8/2019,28,Female,102.96,FL
5902d,0307c,finished,google,5/14/2019,40,Male,87.6,OK
898bd,3088,finished,others,5/6/2019,31,Female,70.03,NJ
3cc5d,3307,finished,google,4/29/2019,38,Male,68.62,OK
8e8a2,0349b,finished,social,3/14/2019,19,Female,76.56,FL
a15a0,3509,finished,direct,2/26/2019,49,Male,88.44,FL
5115,0352e,finished,google,4/25/2019,53,Female,134.16,TN
004c0,3770,finished,others,3/3/2019,23,Male,75.9,CA
932000,3859,finished,google,3/23/2019,41,Male,78.96,TN
bc7a2,3978,finished,direct,1/24/2019,37,Female,109.98,TN
28ad6,039a8,finished,google,4/6/2019,27,Male,116.22,NJ
d0eb4,039c5,finished,others,3/2/2019,41,Male,107.28,NJ
c4b55,03a5b,finished,social,3/11/2019,25,Female,106.08,TN
8da53,03b98,finished,direct,4/1/2019,27,Male,74.42,GA
691c9,03cde,finished,google,2/26/2019,35,Female,70.21,NM
4c0cf,03d15,finished,google,1/22/2019,56,Male,109.22,TX
04bbd,03e4c,finished,others,5/10/2019,42,Female,134.16,TN
dd77e,03eb5,finished,social,4/19/2019,25,Male,91.44,TX
4dcd9,03edb,finished,social,5/16/2019,54,Female,74.42,GA
fd5e3,03ee5,finished,social,5/16/2019,53,Female,109.98,TN
f602a,03fdc,finished,direct,4/5/2019,45,Male,67.85,CA
05c28,4097,finished,others,3/6/2019,31,Female,128.14,NJ
fd661,040c0,finished,direct,1/22/2019,51,Male,107.28,NJ
c4296,040c3,finished,direct,2/28/2019,53,Female,57.34,GA
f7db7,041b0,finished,direct,1/26/2019,55,Female,77.05,CA
83c37,0438f,finished,direct,4/16/2019,33,Female,95.46,LA
ff292,044b5,finished,direct,2/22/2019,41,Female,73.32,TN
831ee,0453d,finished,direct,4/17/2019,38,Male,66.27,TN
4cb34,046ff,finished,google,3/21/2019,30,Male,78.08,GA
9c716,047cd,finished,google,4/4/2019,36,Female,74.37,LA
470f5,4864,finished,direct,1/9/2019,48,Male,113.88,OK
79c11,4967,finished,direct,4/7/2019,27,Female,73,OK
3cb7f,04a3a,finished,direct,3/16/2019,44,Female,66,FL
f8295,04b3d,finished,social,4/16/2019,24,Female,86.14,OK
f39fe,04eab,finished,google,3/2/2019,39,Female,76.56,FL
9566f,04ebe,cancelled,direct,2/10/2019,20,Male,102.96,FL
20f45,04ec6,finished,others,1/22/2019,52,Male,72.6,FL
67993,0508f,finished,social,4/24/2019,25,Male,89.06,OK
2eaee,050ff,finished,others,4/2/2019,19,Male,62.16,LA
a7770,5173,finished,google,4/28/2019,20,Male,121.68,TN
94b72,5213,cancelled,direct,2/2/2019,49,Male,95.04,FL
f4c4a,5309,finished,direct,4/29/2019,51,Male,109.98,TN
23d58,0543b,cancelled,google,1/4/2019,44,Female,61.05,LA
62d51,5475,finished,social,5/1/2019,34,Female,128.14,NJ
211ac,054c1,finished,others,3/18/2019,45,Female,80.52,FL
f6442,5802,finished,others,2/21/2019,47,Male,80.3,OK
c50bc,5879,finished,social,4/23/2019,45,Male,102.96,FL
dba98,0588a,cancelled,direct,4/6/2019,40,Female,57.5,CA
3bfb6,058bb,cancelled,others,2/15/2019,29,Female,77.47,TX
b5309,5946,cancelled,direct,2/23/2019,23,Female,95.88,TN
c5c02,059ce,finished,google,1/9/2019,28,Female,73.66,TX
a7c47,05bcf,finished,others,4/29/2019,26,Male,78,TN
38857,05e0f,finished,direct,2/23/2019,48,Female,87.36,TN
ec003,05fe4,finished,google,5/7/2019,45,Male,101.32,NJ
04e7e,6069,finished,google,5/7/2019,48,Female,73.66,TX
128cf,0607d,cancelled,google,2/23/2019,42,Male,57.34,GA
79bac,6226,cancelled,direct,3/25/2019,27,Male,102.34,NM
d87ae,6316,finished,others,4/21/2019,34,Female,73.66,TX
b24da,6346,finished,direct,1/18/2019,31,Male,73.66,TX
45973,063be,finished,google,2/26/2019,35,Male,93.44,OK
92c38,0659a,cancelled,google,4/14/2019,48,Male,87.36,TN
326,065b2,finished,others,3/27/2019,32,Female,55.93,NM
154cc,0664c,finished,google,4/5/2019,30,Female,80.92,NM
ccdff,0667c,finished,direct,1/21/2019,49,Male,92.82,NM
c2694,066bc,finished,google,4/29/2019,32,Male,83.82,TX
d6dc4,067df,finished,direct,3/28/2019,40,Male,70.15,CA
ce556,067f7,cancelled,google,2/27/2019,48,Female,80.52,FL
7c0cd,068ad,finished,direct,4/14/2019,51,Male,99.28,OK
cec08,6907,cancelled,google,2/24/2019,58,Male,112.32,TN
ccac9,6952,finished,direct,4/6/2019,55,Male,55.5,LA
b561f,6971,finished,direct,3/22/2019,38,Female,72.59,NM
e47f8,06d8e,finished,direct,4/8/2019,30,Female,62.04,FL
1ff04,06dd6,finished,direct,2/22/2019,36,Female,57.5,CA
ca10d,06e3f,finished,social,5/12/2019,26,Male,102.34,NM
a221d,06e9b,finished,social,4/28/2019,44,Female,101.32,NJ
bfb39,06ee4,finished,direct,12/23/2018,50,Female,76.2,TX
d0324,06fc3,finished,google,4/28/2019,19,Male,69.85,TX
8994f,0705e,finished,social,4/16/2019,40,Male,85.68,NM
af57d,7066,finished,google,3/24/2019,46,Male,128.14,NJ
9fd9b,7251,finished,direct,1/19/2019,44,Male,98.9,CA
57a44,7272,finished,direct,4/8/2019,49,Female,104.52,TN
ca560,0734d,finished,google,4/12/2019,32,Male,55.5,LA
344a1,073bd,finished,google,4/28/2019,29,Female,55.5,LA
1dd21,0746e,finished,google,5/5/2019,40,Male,73.66,TX
75d75,0748c,cancelled,direct,2/10/2019,48,Female,95.36,NJ
6b1b0,074a3,finished,direct,5/15/2019,56,Female,89.7,CA
19f2d,076da,finished,direct,3/16/2019,19,Male,81.95,NJ
5a930,7711,finished,direct,5/10/2019,44,Female,69,CA
7c84a,7725,cancelled,others,2/27/2019,40,Male,71.98,GA
09d9a,0778f,finished,google,5/15/2019,27,Female,87.91,NJ
55436,0792c,finished,direct,4/2/2019,42,Female,78,TN
e8cae,07a0d,finished,others,3/29/2019,29,Male,83.44,NJ
6ddcc,07b4d,finished,direct,2/13/2019,32,Female,86.58,LA
3b59a,07fe3,cancelled,others,4/28/2019,21,Male,68.32,GA
33e5c,07ff3,finished,google,3/3/2019,32,Male,102.96,TN
b0a3c,0801f,finished,social,5/13/2019,20,Female,69.85,TX
42781,0809f,finished,direct,2/22/2019,53,Male,90.24,TN
f0378,8211,finished,google,3/20/2019,52,Male,84.68,OK
bfcd6,0825e,cancelled,google,3/3/2019,27,Male,63.5,TX
a2ab7,082d1,finished,direct,3/4/2019,52,Female,104.52,TN
5953d,8391,finished,google,1/6/2019,35,Female,78.54,NM
a765c,8433,finished,social,3/22/2019,46,Female,67.1,GA
f65f0,8480,finished,social,4/6/2019,36,Female,54.05,CA
f9018,8493,finished,direct,4/29/2019,25,Male,87.6,OK
c1322,0853e,finished,others,3/28/2019,56,Male,98.34,NJ
32bc4,0854e,finished,direct,4/10/2019,30,Female,70.76,GA
1f426,8595,finished,direct,5/4/2019,48,Male,61.05,LA
1766c,085da,finished,google,3/31/2019,29,Female,104.52,TN
53f42,8623,cancelled,google,4/28/2019,42,Female,64.4,CA
33104,086d3,finished,direct,3/28/2019,51,Male,83.82,TX
175fc,0881f,finished,others,2/25/2019,34,Male,95.16,GA
1c28b,08aa4,finished,google,4/8/2019,45,Female,57.5,CA
be1fc,08b16,finished,social,3/8/2019,25,Male,77.55,TN
8e53c,08bc0,finished,direct,1/15/2019,45,Female,84.48,FL
41f1c,08bfe,cancelled,social,4/1/2019,27,Male,83.82,TX
5d762,8E+74,finished,social,4/19/2019,41,Female,67.85,CA
8c850,08ea9,finished,direct,3/2/2019,50,Male,78.2,CA
c3a23,08ecc,finished,direct,1/13/2019,29,Male,109.22,TX
48c93,091f4,finished,direct,3/24/2019,25,Female,98.9,CA
781d7,0928f,finished,google,5/7/2019,30,Female,71.12,TX
ea388,092a6,finished,others,3/4/2019,23,Male,69,CA
151,0937e,finished,direct,5/12/2019,38,Male,69,CA
92ca0,094ae,finished,direct,4/18/2019,38,Male,77.55,TN
7e0a2,940000,finished,others,1/21/2019,38,Female,93.06,TN
1ec08,094eb,finished,others,4/21/2019,45,Female,90.89,NJ
34756,9638,finished,direct,3/21/2019,53,Female,80.92,NM
ff7e4,097a1,cancelled,social,4/12/2019,26,Female,78.96,TN
40a2a,9888,finished,direct,4/21/2019,26,Female,88.44,FL
77c09,9953,finished,google,3/18/2019,38,Female,98.9,CA
27dd7,09b4e,finished,direct,5/14/2019,45,Male,78.08,GA
85df5,09c04,finished,direct,1/15/2019,38,Male,95.16,TN
f7db8,09d7a,finished,direct,5/1/2019,25,Female,71.98,GA
ff3de,09db6,finished,others,3/28/2019,31,Male,89.4,NJ
57b6f,09dc4,finished,others,2/8/2019,49,Female,99.06,TX
4367e,09f30,cancelled,google,3/20/2019,49,Male,66.27,TN
e4ab5,09f79,finished,direct,4/16/2019,29,Male,71.4,NM
5b685,09fc2,finished,direct,3/12/2019,41,Female,96.36,OK
ae587,0a082,finished,google,4/3/2019,58,Male,64.4,CA
dd737,0a0b6,finished,direct,4/21/2019,39,Female,93.06,TN
917000000,0a0e7,finished,social,4/4/2019,39,Male,73,OK
c0937,0a197,cancelled,direct,5/7/2019,58,Female,99.84,TN
4e5e7,0a265,finished,social,3/3/2019,57,Female,113.52,FL
c4937,0a312,finished,google,5/5/2019,50,Male,86.14,OK
1724b,0a3de,finished,direct,12/7/2018,39,Female,63.25,CA
31ee8,0a3f3,finished,direct,1/30/2019,49,Female,113.52,FL
d453c,0a466,finished,social,5/11/2019,50,Female,81.74,GA
5c30e,0a4ca,finished,google,4/3/2019,27,Male,55.93,NM
25494,0a6b1,cancelled,direct,2/22/2019,40,Male,89.4,NJ
2714a,0a6fd,finished,others,3/27/2019,23,Female,89.76,FL
d0fd1,0a7e5,finished,google,1/19/2019,40,Male,107.28,NJ
72425,0a86e,cancelled,google,4/28/2019,44,Female,73.92,FL
13a18,0a8c5,finished,social,5/4/2019,34,Female,81.74,GA
39b45,0a8ca,finished,social,3/25/2019,53,Female,80.52,GA
90305,0a92f,cancelled,direct,3/15/2019,20,Female,89.76,FL
8E+19,0aca5,finished,social,3/22/2019,55,Male,83.82,TX
7d45a,0acd9,finished,social,4/7/2019,58,Male,102.96,TN
c4359,0ad0c,finished,others,3/16/2019,26,Male,77.05,CA
dcad9,0ad91,finished,direct,2/27/2019,58,Female,93.6,TN
37cce,0aeba,finished,google,4/8/2019,26,Female,70.15,CA
3152,0af59,finished,google,4/28/2019,44,Male,134.16,TN
6071b,0b050,finished,others,1/25/2019,27,Male,61,GA
a2b8e,0b19f,finished,direct,2/1/2019,50,Male,104.52,TN
f1c98,0b23a,finished,direct,2/27/2019,57,Female,73.66,TX
e62a2,0b2e6,finished,social,4/2/2019,39,Female,83.82,TX
1E+196,0b3a2,finished,google,5/16/2019,46,Female,84.6,TN
e656b,0b3b6,finished,others,3/20/2019,23,Female,80.92,NM
9e3ab,0b43b,finished,direct,1/18/2019,54,Female,121.68,TN
2492f,0b4cb,cancelled,others,1/22/2019,43,Female,77.05,CA
4b5e8,0b5aa,finished,others,2/1/2019,50,Male,70.5,TN
d61a9,0b64b,finished,others,3/14/2019,44,Female,67.1,GA
0d3e8,0b65e,finished,others,5/12/2019,32,Female,87.36,TN
a5e56,0b6c0,finished,google,3/2/2019,32,Male,81.28,TX
360d0,0b72c,finished,social,4/19/2019,26,Male,66.7,CA
30d3a,0b739,finished,others,2/16/2019,49,Male,73.26,LA
76cf0,0b8c5,finished,others,1/10/2019,31,Female,67.85,CA
145d0,0b8dc,finished,social,4/17/2019,26,Female,99.83,NJ
3bcd8,0b8f0,cancelled,others,1/2/2019,33,Female,78.08,GA
8c810,0b96f,cancelled,others,2/17/2019,29,Male,109.22,TX
07f9c,0ba2d,finished,social,4/30/2019,45,Male,128.14,NJ
5321f,0ba68,finished,google,1/27/2019,22,Male,55.5,LA
e0498,0bc9a,finished,google,2/28/2019,20,Male,95.16,TN
1af77,0bca3,finished,direct,12/2/2018,43,Male,113.52,FL
d8eed,0be4f,finished,direct,4/20/2019,47,Male,77.55,TN
1bbea,0bebe,finished,google,5/15/2019,25,Female,83.19,TN
d3283,0bf2f,finished,google,5/6/2019,20,Female,88.44,FL
610000,0bfa8,finished,google,5/11/2019,25,Female,78.54,NM
c9ffa,0c280,finished,direct,2/1/2019,53,Female,121.26,TN
be608,0c351,finished,google,5/4/2019,23,Male,94.47,TN
40698,0c376,finished,google,1/25/2019,28,Male,66.64,NM
1bed9,0c4ff,finished,social,3/3/2019,43,Female,82.96,GA
90f3d,0c667,finished,direct,12/22/2018,45,Female,65.49,LA
19f2d,0c680,finished,social,4/3/2019,19,Male,81.95,NJ
37a49,0c6d5,finished,direct,4/16/2019,46,Female,59.5,NM
4eeff,0c6f5,finished,social,5/13/2019,40,Female,75.9,CA
39069,0c72c,finished,social,4/12/2019,44,Male,70.76,GA
abb08,0c88f,finished,direct,4/21/2019,29,Female,80.92,NM
aa376,0c8fc,finished,direct,4/3/2019,42,Female,66.7,CA
a7cdb,0c91f,finished,google,3/20/2019,27,Male,85.8,TN
54c08,0c99f,finished,google,3/22/2019,57,Male,59.5,NM
9135,0c9a0,finished,others,3/11/2019,34,Male,121.26,TN
e07f0,0cb28,finished,direct,3/4/2019,22,Male,63.5,TX
eab6c,0cb5f,finished,direct,3/26/2019,39,Male,75.48,LA
16b20,0cbb7,finished,google,3/23/2019,22,Female,121.26,TN
5115,0cbf0,finished,others,5/9/2019,53,Female,134.16,TN
8386f,0cd8f,finished,others,4/29/2019,55,Female,62.16,LA
5d5dd,0cda6,cancelled,others,4/14/2019,36,Female,125.56,OK
b144e,0cf95,finished,others,3/18/2019,29,Male,104.92,GA
52c75,0d184,cancelled,google,3/14/2019,47,Female,81.95,NJ
395ef,0d263,finished,direct,2/1/2019,26,Male,102.34,NM
c5910,0d34c,finished,direct,4/5/2019,55,Female,134.16,TN
9ffc7,0d357,finished,social,4/16/2019,33,Female,82.96,GA
cde43,0d43c,cancelled,direct,2/25/2019,48,Male,74.42,GA
c239e,0d47a,finished,google,4/10/2019,50,Female,55.93,NM
5f92a,0d5bd,finished,google,4/20/2019,20,Female,74.37,LA
e47c0,0d612,finished,social,4/22/2019,53,Female,95.16,GA
1471f,0d766,finished,direct,2/15/2019,51,Female,74.42,GA
ecd58,0d7e9,finished,direct,3/25/2019,51,Male,90.48,TN
4a00c,0d831,finished,google,5/6/2019,41,Female,81.76,OK
abc99,0d85c,finished,others,3/9/2019,54,Male,70.15,CA
41b28,0d93c,finished,google,3/15/2019,28,Male,63.25,CA
8ce9b,0da83,finished,direct,4/21/2019,57,Male,70.21,NM
48b38,0daed,finished,google,3/23/2019,41,Female,83.44,NJ
72ab9,0db4b,cancelled,google,3/20/2019,35,Male,78.54,NM
bfc8f,0dc2d,cancelled,google,4/16/2019,24,Male,68.32,GA
4e12e,0dcee,finished,direct,4/17/2019,43,Male,82.8,CA
63d6f,0dd2b,finished,others,1/9/2019,41,Male,73.66,TX
f6cd6,0def4,finished,others,5/11/2019,45,Female,55.5,LA
bc8f2,0df21,cancelled,social,4/26/2019,57,Female,83.82,TX
98bcc,0dfd4,cancelled,google,1/2/2019,25,Female,73.26,LA
24807,0e0ae,finished,social,5/16/2019,35,Male,87.12,FL
fbcc4,0,finished,direct,12/3/2018,42,Male,83.82,TX
c5b1f,0e19a,finished,others,3/20/2019,54,Female,74.5,NJ
44c93,0e1d3,finished,direct,3/1/2019,46,Female,74.42,GA
ea009,0e21e,finished,google,1/25/2019,26,Male,121.26,TN
6b070,0,cancelled,others,12/12/2018,47,Male,98.9,CA
53691,0e3d8,finished,social,4/9/2019,20,Female,81.28,TX
a1261,0e441,finished,others,2/25/2019,56,Female,73.6,CA
8dd17,0e5e9,cancelled,others,3/28/2019,30,Female,72.6,FL
2e5cd,0e6f5,finished,direct,1/17/2019,46,Male,93.6,TN
1da6c,0e7f3,finished,social,4/12/2019,57,Male,70.15,CA
a7362,0e810,finished,google,2/18/2019,48,Male,66.27,TN
fc8ac,0e842,finished,google,4/19/2019,44,Female,88.44,FL
db6f7,0e990,finished,social,4/26/2019,46,Male,109.98,TN
9226b,0eaf9,finished,google,5/3/2019,55,Female,90.89,NJ
e60d4,0eba0,cancelled,social,4/19/2019,33,Female,121.26,TN
b94ff,0eba3,finished,google,5/11/2019,30,Male,90.24,TN
70f31,0ebe1,finished,others,4/29/2019,23,Female,83.82,TX
fcf3f,0ebea,finished,others,5/11/2019,47,Male,95.16,TN
37a28,0ec58,finished,social,4/6/2019,56,Female,74.37,LA
6f530,0ec7a,finished,direct,5/11/2019,49,Female,98.9,CA
bae9b,0edb9,finished,others,4/12/2019,57,Female,109.98,TN
e6507,0ee5e,finished,others,4/20/2019,24,Male,99.06,TX
181bc,0eea4,cancelled,direct,2/23/2019,53,Male,109.98,TN
2d7e9,0eea9,finished,direct,4/5/2019,40,Male,70.15,CA
8e46b,0efc8,finished,direct,4/25/2019,37,Female,78.2,CA
a8317,0effd,finished,direct,5/6/2019,24,Male,83.19,TN
0,0f035,finished,others,5/6/2019,48,Male,70.03,NJ
9bcb5,0f038,cancelled,direct,12/12/2018,35,Female,87.84,GA
b7127,0f071,finished,direct,4/29/2019,34,Female,87.12,FL
7d1f4,0f346,finished,social,5/1/2019,38,Male,69,CA
dfd25,0f3fb,finished,direct,5/12/2019,31,Female,75.9,CA
c97fc,0f44f,finished,direct,1/22/2019,39,Male,93.06,TN
a7e35,0f554,finished,google,3/31/2019,50,Male,73,OK
5f9b2,0f74c,finished,direct,2/28/2019,33,Male,68.32,GA
57881,0f754,finished,direct,3/16/2019,43,Female,90.24,TN
12ebb,0f762,finished,others,4/28/2019,30,Female,77.05,CA
32c47,0f813,finished,others,4/26/2019,23,Female,52.17,LA
8e575,0f83d,finished,direct,4/22/2019,20,Male,68.62,OK
db341,0f90e,finished,direct,12/26/2018,55,Male,73.6,CA
520f4,0f9a2,finished,google,1/9/2019,42,Male,59.69,TX
8450e,0fa33,finished,direct,4/2/2019,19,Male,97.82,OK
7aeae,0fa8f,finished,direct,4/21/2019,20,Female,101.32,NJ
aa4f4,0fa96,finished,direct,2/23/2019,20,Male,77.47,TX
db7fe,0fad2,finished,others,2/1/2019,42,Male,85.09,TX
0212a,0faf6,cancelled,social,4/20/2019,40,Male,65.49,LA
18edd,0fdae,cancelled,others,5/3/2019,21,Male,65.45,NM
ffd1c,0fee6,finished,google,5/3/2019,31,Female,64.4,CA
c195a,0ff25,cancelled,social,4/19/2019,46,Female,77.47,TX
b4ca1,10006,cancelled,direct,2/26/2019,58,Male,84.48,FL
216f1,100ec,finished,social,4/13/2019,34,Female,87.6,OK
28860,102c8,cancelled,google,5/3/2019,57,Male,67.71,LA
6c7d9,102eb,finished,direct,2/2/2019,34,Male,105.12,OK
4e32c,10483,finished,others,5/13/2019,25,Female,102.34,NM
f48b2,1052e,finished,direct,2/11/2019,23,Female,86.01,TN
61bbe,106b8,finished,social,3/21/2019,51,Female,102.96,FL
1a958,10773,finished,direct,4/5/2019,34,Female,80.52,FL
55260,1085a,finished,others,3/22/2019,25,Female,116.22,NJ
d8950,10900,cancelled,google,5/7/2019,45,Female,73,OK
cd88a,10b4d,finished,direct,11/23/2018,38,Female,93.06,TN
e4858,10c0e,finished,direct,4/28/2019,51,Male,86.14,OK
24091,1E+91,finished,direct,2/12/2019,49,Male,95.16,TN
49197,10f27,finished,google,4/4/2019,47,Male,66.64,NM
33f0b,10f4a,finished,direct,4/19/2019,47,Male,62.04,FL
5fa24,111d4,finished,direct,4/17/2019,40,Female,74.37,LA
d8f8b,11339,finished,others,3/5/2019,43,Male,104.92,GA
1070,113ae,finished,direct,4/9/2019,41,Female,73.92,FL
84430,1148a,finished,direct,3/12/2019,55,Male,98.34,NJ
dabbb,11523,finished,social,5/16/2019,27,Female,72.59,NM
5fa26,117b8,finished,others,2/1/2019,49,Male,78,TN
43baa,117cd,finished,google,4/3/2019,39,Female,98.34,NJ
ee377,117f0,finished,direct,2/1/2019,46,Male,77.47,TX
45016,1197f,cancelled,direct,12/1/2018,32,Male,91.44,TX
218b3,1198d,finished,social,4/19/2019,52,Female,93.6,TN
8162b,119eb,finished,direct,2/28/2019,35,Female,84.6,TN
cefc8,1217a,finished,direct,3/22/2019,38,Male,107.28,NJ
3ae24,12185,finished,social,5/10/2019,53,Male,70.5,TN
f35ca,121d2,finished,direct,5/10/2019,44,Male,80.52,FL
202c2,1227e,finished,google,4/19/2019,32,Male,109.22,TX
2a9f4,1245f,finished,direct,12/13/2018,33,Male,70.76,GA
86067,12485,finished,direct,1/23/2019,34,Female,95.46,LA
68d37,12682,finished,direct,4/29/2019,30,Female,125.56,OK
7ed40,127ea,finished,google,4/12/2019,50,Female,66.27,TN
4684b,127f0,cancelled,direct,2/13/2019,48,Male,125.56,OK
63379,128d4,finished,google,5/11/2019,40,Male,67.1,GA
4ed5b,12b48,finished,others,2/17/2019,54,Male,95.36,NJ
f298a,12bef,cancelled,others,3/22/2019,31,Female,67.71,LA
3b337,12bff,cancelled,direct,1/12/2019,46,Male,78.54,NM
29fc8,12c2b,finished,google,4/17/2019,32,Male,71.12,TX
322c6,12d7b,finished,direct,1/30/2019,23,Female,113.52,FL
8d05e,12ea4,finished,google,4/28/2019,36,Female,134.16,TN
5d762,12fea,finished,social,4/11/2019,41,Female,67.85,CA
d3d14,131b3,cancelled,direct,2/4/2019,35,Female,113.52,FL
004c0,13201,finished,direct,2/11/2019,23,Male,75.9,CA
6b4ed,13262,finished,social,5/9/2019,39,Male,71.98,GA
e23c4,13492,finished,direct,1/19/2019,41,Male,81.74,GA
c29c3,134c9,finished,direct,4/8/2019,44,Female,71.98,GA
a6229,134f7,finished,direct,1/22/2019,23,Male,128.14,NJ
02a7e,13544,cancelled,google,4/24/2019,56,Male,78,TN
3d7c7,13705,finished,direct,4/6/2019,51,Female,87.84,GA
44ad1,13953,finished,others,1/30/2019,41,Female,121.26,TN
e7e7d,1397c,finished,google,4/29/2019,36,Male,74.37,LA
42781,13a8f,finished,social,5/2/2019,53,Male,90.24,TN
6cb62,13ae3,finished,others,3/31/2019,44,Male,63.25,CA
ca10d,13c1e,finished,social,4/22/2019,26,Male,102.34,NM
f51dc,13d4c,finished,direct,3/17/2019,27,Male,71.04,LA
d5f1c,1.3E+58,finished,direct,12/30/2018,57,Male,93.44,OK
8b2d3,1.3E+72,finished,direct,12/26/2018,38,Female,95.46,LA
6a93a,13ec8,finished,direct,1/22/2019,54,Male,80.92,NM
4dff4,14048,cancelled,google,4/23/2019,24,Male,72.6,FL
a8702,1411d,finished,direct,4/29/2019,57,Male,88.44,FL
60600000000,14123,finished,social,4/17/2019,29,Female,85.68,NM
60489,14124,finished,google,3/21/2019,19,Female,59.5,NM
ab4b0,14229,cancelled,others,3/10/2019,19,Female,85.68,NM
bf187,142a2,finished,direct,1/12/2019,46,Male,98.9,CA
c6911,142de,finished,direct,4/17/2019,32,Female,77.55,TN
8ebf3,1435b,finished,social,4/15/2019,43,Male,112.32,TN
